Anyo,Mes,Dia,Ventas,Prediccion
2015,7,4,3601,3416.2068675324026
2015,7,8,2002,2644.7177096759115
2015,7,17,3067,2740.8227568390234
2015,7,18,3875,3458.2399384550604
2015,7,19,3783,3249.3886612941583
2015,7,26,3888,3223.2888814562543
2015,7,31,3224,2838.8165519601794
2015,8,4,3446,2962.693350111057
2015,8,7,3685,2962.693350111057
2015,8,9,4566,3378.6855268284758
2015,8,12,3538,2955.7175784592882
2015,8,13,3556,2076.280759817517
2015,8,15,4795,2547.1201902286907
2015,8,18,3686,2955.7175784592882
2015,8,21,3685,2923.5523672864465
2015,8,22,3952,3543.6057400191003
2015,8,29,3051,3518.866260642697
2015,8,30,2802,3275.071657394567
2015,9,5,2749,2283.995201056371
2015,9,6,2678,2226.4044081945226
2015,9,7,1976,1655.7526690290165
2015,9,9,1627,1641.9887214154853
2015,9,17,1522,1489.6445188059731
2015,9,23,1334,1583.897878455621
2015,9,25,1569,1725.0193091068195
2015,9,27,1846,2177.065193369702
2015,9,28,1321,1614.9432429454064
2015,10,1,1480,1634.031933883877
2015,10,3,1965,2196.974441685764
2015,10,4,1869,2034.6858131465656
2015,10,11,2251,2033.4104629572948
2015,10,12,1698,2017.5118094945863
2015,10,13,1089,1253.8190671597665
2015,10,17,1822,2053.3818672112957
2015,10,20,1078,1433.7959674786914
2015,10,24,1808,2021.2166560384544
2015,10,27,1170,1221.6538559869252
2015,10,30,1680,1502.2604060490205
2015,11,1,1446,2015.8570304435498
2015,11,4,1058,1161.2156535960055
2015,11,5,1043,1320.796805879935
2015,11,15,1041,1921.5855796823846
2015,11,18,649,1329.5786489551313
2015,11,20,1021,1297.41343778229
2015,11,28,836,1645.659329137921
2015,12,4,924,1017.9478478747902
2015,12,12,652,1500.9131809791497
2015,12,17,455,947.1926847411889
2015,12,18,612,947.1926847411889
2015,12,19,882,1462.4874410372695
2015,12,20,836,1607.3736285184405
2015,12,23,722,1251.4409225945456
2016,1,8,747,901.3894016073909
2016,1,9,812,1442.3137914153533
2016,1,14,452,685.3831845168809
2016,1,16,953,1326.127829811769
2016,1,19,482,685.3831845168809
2016,1,20,536,670.0319612760428
2016,1,25,562,813.2587573477084
2016,1,28,521,809.1170907845278
2016,2,9,626,816.1878264343534
2016,2,10,532,890.4572971184617
2016,2,12,805,838.0319580518067
2016,2,15,621,788.0432139067659
2016,2,19,889,788.0432139067659
2016,2,25,589,852.7515217819387
2016,2,26,924,852.0074575361334
2016,2,28,1112,1432.2810505731127
2016,3,7,703,870.0136350209589
2016,3,8,650,868.0569972838483
2016,3,10,680,954.1496576396921
2016,3,15,517,1246.125616381351
2016,3,23,1686,1258.3796081362457
2016,3,24,2381,1986.8929849304327
2016,3,29,1395,1253.287465410771
2016,3,30,1003,1350.4232852270727
2016,4,2,2015,1861.024843995958
2016,4,4,1052,1105.9580858313475
2016,4,7,1064,1371.2351352445858
2016,4,8,1366,1291.7769943484716
2016,4,10,1616,1686.132990358984
2016,4,12,849,1155.4359735026724
2016,4,13,831,1238.2839177464548
2016,4,15,1468,1413.2682061672444
2016,4,16,1841,1812.5843286423358
2016,4,18,952,1413.2682061672444
2016,4,19,925,1302.6438524192615
2016,4,22,1703,1276.5440725813578
2016,4,24,1703,1991.940589120674
2016,5,4,877,1467.0974828160552
2016,5,6,1959,1199.1173194228115
2016,5,9,1276,1125.8290326409253
2016,5,18,1305,1558.1712292894258
2016,5,21,2278,2426.9642838776567
2016,5,28,2242,2026.5078735826476
2016,5,29,2019,1957.8707796354884
2016,5,30,1401,1407.0210638200003
2016,6,3,1864,1686.502583841082
2016,6,8,1335,1685.2272336518113
2016,6,12,2711,2308.636180986937
2016,6,15,1737,1413.2682061672444
2016,6,16,2203,1413.2682061672444
2016,6,20,1841,1808.8973798419338
2016,6,26,2988,2336.201280013946
2016,7,2,3202,3416.2068675324026
2016,7,5,2568,2645.993059865182
2016,7,10,3211,3212.1456715171676
2016,7,16,3878,3458.2399384550604
2016,7,21,3159,2708.6575456661817
2016,7,29,3410,2772.0558118355734
2016,7,30,195,3369.6568205924314
2016,8,3,3379,2962.693350111057
2016,8,4,3512,2962.693350111057
2016,8,8,4063,2961.4179999217863
2016,8,15,4433,3372.9851053659777
2016,8,18,3287,2955.7175784592882
2016,8,19,3706,2949.6521471243504
2016,8,23,3452,2923.5523672864465
2016,8,31,2432,3053.711373580444
2016,9,1,2465,1970.1071318047896
2016,9,4,3102,2474.698370041551
2016,9,16,2264,1616.0630896284622
