Id_heladeria,Des_Heladeria,Comunidad_Autonoma,Consumo_In_Situ,Productos_Premium,HorasAbierto,Fecha,Anyo,Mes,Dia,Tipo,Temperatura,Ventas
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,17,1,34,4914
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,18,2,34.5,4520
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,19,0,36.8,3594
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,20,0,36.2,3456
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,21,0,36.3,3217
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,22,0,35.1,2876
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,23,0,34.4,3160
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,24,1,33.8,3751
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,25,2,31.4,3554
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,26,0,30.8,2874
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,27,0,30.5,2567
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,28,0,28.1,2317
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,29,0,28.1,2541
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,30,0,28.6,2476
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,31,1,30.1,2856
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,1,2,30.8,2549
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,2,0,31.8,2103
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,3,0,32.7,1950
